Diretor, ator1, ator2, ator3, ator 4, nota
John Woo,Tom Cruise,Dougray Scott,Thandie Newton,Ving Rhames,6.1
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,7.5
Emilie Deleuze,Axel Auriant-Blot,Philippe Duquesne,Alex Lutz,Nathan Melloul,6.8
Joseph Kuo,Li Ching,Hung Lieh Chen,Nan Chiang,Chun Erh,4.4
Ron Jeremy,Aja,Stella Star,Busty Belle,Tiger Lillie,6.3
António-Pedro Vasconcelos,Victória Guerra,José Mata,Soraia Chaves,Ricardo Pereira,6.0
Jeffrey Reiner,Shannen Doherty,Max Martini,Julian McMahon,Courtney Kidd,6.1
J.A. Bayona,Naomi Watts,Ewan McGregor,Tom X Holland,Samuel Joslin,7.6
Gianfranco (II) Romagnoli,Horst Baron,Lauro Giotto,Frank Gun,Nick Lang,6.2
Andrew Fleming,Michael Douglas,Michael Bodnar,Vladimir Radian,Robin Tunney,5.7
Antonio Santillán,Beni Deus,Arturo Fernández,Estanis González,Luis nduni,5.5
Katsuhide Motoki,Kuranosuke Sasaki,Kyoko Fukada,Tsuyoshi hara,Masahiko Nishimura,6.3
Paul Bartel,Brad Trumbull,Tim Conway,Jack Weston,Harvey Korman,5.4
Silver Chung,Jeff Chin,Bernard Hiew,Jack Lim,Keat Yoke Chen,6.0
Cho Sin Jung,n-seong Jo,Sa-rang Kim,Hyeong-jin Kong,Yeong-ran Heo,4.8
Guy Casaril,Anicée Alvina,Nicole Courcel,Venantino Venantini,Jean Martin,5.4
Christian Rost,Renate Foidl,Annemari Kuti,Bettina Gaupmann,Bianca Pokorny,8.1
Gianfranco (II) Romagnoli,Mike Foster,Choky ce,Nick Lang,Zenza Raggi,6.4
Jesús Martínez Nota,Antonio Albujer,Jimmy Jiménez,Manu Reyes,José Ruiz Monty,7.4
Rafael Gil,Paquita Rico,Manolo Morán,Miguel Gila,Julio Núñez,6.4
Nat Baer,Raymond Alverado,James Cullen Bressack,Bennett Schulberg,Roman Johnson,8.8
Gabriel Tupinambá,Saulo Arcoverde,Henrique Botkay,Jorge Caetano,Erom Cordeiro,7.4
Joseph Kosinski,Tom Cruise,Morgan Freeman,Olga Kurylenko,Andrea Riseborough,7.0
Sam Irvin,Richard Joseph Paul,Jackie Swanson,Andrew Divoff,Meg Foster,5.3
Zeresenay Mehari,Meron Getnet,Tizita Hagere,Abel Abebe,Genene Alemu,6.7
Austin Andrews,David Adie,Lee Cameron,David X Grant,Harris Hart,6.3
Galo Semblantes,Aleksander Ristic,Corley Henderson,Nathan Malone,Brandon Mhoon,8.1
Heather (VII) Robinson,James Duval,Neil Willoughby,Tawny Amber Young,April Washko,7.7
Marco (II) Chiavarelli,Leslie Batiste,Camila Campos Katz,Hannah Driscoll,George V Georgiou,6.0
Shinsuke Sato,Christine Marie Cabanos,Patrick Seitz,Julie Maddalena,Julie Ann Taylor,7.0
Hugo del Carril,Laura Hidalgo,Hugo del Carril,Pedro Laxalt,Eduardo Rudy, 7.8
Abbas Rafei,Sareh Bayat,Amin Zendegani,Shahin Taslimi,Jila Alershad, 7.6
Michale Boganim,Olga Kurylenko,Andrzej Chyra,lya osifov,Sergey Strelnikov, 6.5
Chantal Akerman,Paul Amar,Robert Badinter,Guy Bedos,Henri Cartier-Bresson, 7.0
Harutyun Khachatryan,Rouben Hakhverdian,V. Ananyan,R. Stepanyan,L. Avetisyan, 4.1
Jason (IX) Hawkins,Dara Davey,Natasha Timpani,Simon XV Scott,Sam Brittan, 4.4
Robert B. Churchill,Burt Lancaster,Shigeko Sasamori,Kosta Tsipis,Victor W. Sidel, 7.2
David Flores,Morena Baccarin,Adam Baldwin,Victor Webster,George Kennedy, 3.6
